year,province_code,province_name_ko,province_name_en,sex,age_group,population,population_type,reference_date
2000,27,대구광역시,Daegu,female,5-9,84244,registered,2000-12-31
2000,27,대구광역시,Daegu,female,10-14,76636,registered,2000-12-31
2000,27,대구광역시,Daegu,female,15-19,98252,registered,2000-12-31
2000,27,대구광역시,Daegu,female,20-24,107013,registered,2000-12-31
2000,27,대구광역시,Daegu,female,25-29,118198,registered,2000-12-31
2000,27,대구광역시,Daegu,female,30-34,117102,registered,2000-12-31
2000,27,대구광역시,Daegu,female,35-39,117699,registered,2000-12-31
2000,27,대구광역시,Daegu,female,40-44,112380,registered,2000-12-31
2000,27,대구광역시,Daegu,female,45-49,86244,registered,2000-12-31
2000,27,대구광역시,Daegu,female,50-54,64648,registered,2000-12-31
2000,27,대구광역시,Daegu,female,55-59,54965,registered,2000-12-31
2000,27,대구광역시,Daegu,female,60-64,47667,registered,2000-12-31
2000,27,대구광역시,Daegu,female,65-69,36753,registered,2000-12-31
2000,27,대구광역시,Daegu,female,70-74,25241,registered,2000-12-31
2000,27,대구광역시,Daegu,female,75-79,17183,registered,2000-12-31
2000,27,대구광역시,Daegu,female,80-84,9554,registered,2000-12-31
2000,27,대구광역시,Daegu,female,85+,5815,registered,2000-12-31
2000,28,인천광역시,Incheon,male,0-4,95395,registered,2000-12-31
2000,28,인천광역시,Incheon,male,5-9,114777,registered,2000-12-31
2000,28,인천광역시,Incheon,male,10-14,95953,registered,2000-12-31
2000,28,인천광역시,Incheon,male,15-19,100871,registered,2000-12-31
2000,28,인천광역시,Incheon,male,20-24,96142,registered,2000-12-31
2000,28,인천광역시,Incheon,male,25-29,113525,registered,2000-12-31
2000,28,인천광역시,Incheon,male,30-34,129078,registered,2000-12-31
2000,28,인천광역시,Incheon,male,35-39,140407,registered,2000-12-31
2000,28,인천광역시,Incheon,male,40-44,128381,registered,2000-12-31
2000,28,인천광역시,Incheon,male,45-49,81145,registered,2000-12-31
2000,28,인천광역시,Incheon,male,50-54,59040,registered,2000-12-31
2000,28,인천광역시,Incheon,male,55-59,44788,registered,2000-12-31
2000,28,인천광역시,Incheon,male,60-64,34207,registered,2000-12-31
2000,28,인천광역시,Incheon,male,65-69,22390,registered,2000-12-31
2000,28,인천광역시,Incheon,male,70-74,13468,registered,2000-12-31
2000,28,인천광역시,Incheon,male,75-79,8915,registered,2000-12-31
2000,28,인천광역시,Incheon,male,80-84,4358,registered,2000-12-31
2000,28,인천광역시,Incheon,male,85+,1929,registered,2000-12-31
2000,28,인천광역시,Incheon,female,0-4,87785,registered,2000-12-31
2000,28,인천광역시,Incheon,female,5-9,103893,registered,2000-12-31
2000,28,인천광역시,Incheon,female,10-14,89244,registered,2000-12-31
2000,28,인천광역시,Incheon,female,15-19,95292,registered,2000-12-31
2000,28,인천광역시,Incheon,female,20-24,92991,registered,2000-12-31
2000,28,인천광역시,Incheon,female,25-29,112896,registered,2000-12-31
2000,28,인천광역시,Incheon,female,30-34,130664,registered,2000-12-31
2000,28,인천광역시,Incheon,female,35-39,131733,registered,2000-12-31
2000,28,인천광역시,Incheon,female,40-44,115956,registered,2000-12-31
2000,28,인천광역시,Incheon,female,45-49,73654,registered,2000-12-31
2000,28,인천광역시,Incheon,female,50-54,54293,registered,2000-12-31
2000,28,인천광역시,Incheon,female,55-59,45475,registered,2000-12-31
2000,28,인천광역시,Incheon,female,60-64,39868,registered,2000-12-31
2000,28,인천광역시,Incheon,female,65-69,32284,registered,2000-12-31
2000,28,인천광역시,Incheon,female,70-74,24201,registered,2000-12-31
2000,28,인천광역시,Incheon,female,75-79,16556,registered,2000-12-31
2000,28,인천광역시,Incheon,female,80-84,8824,registered,2000-12-31
