Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,1997,Nonthaburi,male,75-79,3171,75,15,older_adult_65_plus
Thailand,1997,Nonthaburi,male,80-84,1973,80,16,older_adult_65_plus
Thailand,1997,Nonthaburi,male,85+,2119,85,17,older_adult_65_plus
Thailand,1997,Nonthaburi,female,0-4,25977,0,0,child_0_14
Thailand,1997,Nonthaburi,female,5-9,27036,5,1,child_0_14
Thailand,1997,Nonthaburi,female,10-14,26577,10,2,child_0_14
Thailand,1997,Nonthaburi,female,15-19,31426,15,3,working_age_15_64
Thailand,1997,Nonthaburi,female,20-24,31882,20,4,working_age_15_64
Thailand,1997,Nonthaburi,female,25-29,38020,25,5,working_age_15_64
Thailand,1997,Nonthaburi,female,30-34,43523,30,6,working_age_15_64
Thailand,1997,Nonthaburi,female,35-39,41930,35,7,working_age_15_64
Thailand,1997,Nonthaburi,female,40-44,34925,40,8,working_age_15_64
Thailand,1997,Nonthaburi,female,45-49,25887,45,9,working_age_15_64
Thailand,1997,Nonthaburi,female,50-54,17980,50,10,working_age_15_64
Thailand,1997,Nonthaburi,female,55-59,15128,55,11,working_age_15_64
Thailand,1997,Nonthaburi,female,60-64,12552,60,12,working_age_15_64
Thailand,1997,Nonthaburi,female,65-69,9121,65,13,older_adult_65_plus
Thailand,1997,Nonthaburi,female,70-74,6096,70,14,older_adult_65_plus
Thailand,1997,Nonthaburi,female,75-79,3851,75,15,older_adult_65_plus
Thailand,1997,Nonthaburi,female,80-84,2678,80,16,older_adult_65_plus
Thailand,1997,Nonthaburi,female,85+,2842,85,17,older_adult_65_plus
Thailand,1997,Pathum Thani,male,0-4,23679,0,0,child_0_14
Thailand,1997,Pathum Thani,male,5-9,22444,5,1,child_0_14
Thailand,1997,Pathum Thani,male,10-14,21898,10,2,child_0_14
Thailand,1997,Pathum Thani,male,15-19,24703,15,3,working_age_15_64
Thailand,1997,Pathum Thani,male,20-24,24745,20,4,working_age_15_64
Thailand,1997,Pathum Thani,male,25-29,28640,25,5,working_age_15_64
Thailand,1997,Pathum Thani,male,30-34,30783,30,6,working_age_15_64
Thailand,1997,Pathum Thani,male,35-39,27077,35,7,working_age_15_64
Thailand,1997,Pathum Thani,male,40-44,21290,40,8,working_age_15_64
Thailand,1997,Pathum Thani,male,45-49,15561,45,9,working_age_15_64
Thailand,1997,Pathum Thani,male,50-54,10285,50,10,working_age_15_64
Thailand,1997,Pathum Thani,male,55-59,9189,55,11,working_age_15_64
Thailand,1997,Pathum Thani,male,60-64,7638,60,12,working_age_15_64
Thailand,1997,Pathum Thani,male,65-69,5243,65,13,older_adult_65_plus
Thailand,1997,Pathum Thani,male,70-74,3239,70,14,older_adult_65_plus
Thailand,1997,Pathum Thani,male,75-79,1737,75,15,older_adult_65_plus
Thailand,1997,Pathum Thani,male,80-84,1087,80,16,older_adult_65_plus
Thailand,1997,Pathum Thani,male,85+,1024,85,17,older_adult_65_plus
Thailand,1997,Pathum Thani,female,0-4,21991,0,0,child_0_14
Thailand,1997,Pathum Thani,female,5-9,21076,5,1,child_0_14
Thailand,1997,Pathum Thani,female,10-14,21159,10,2,child_0_14
Thailand,1997,Pathum Thani,female,15-19,24040,15,3,working_age_15_64
Thailand,1997,Pathum Thani,female,20-24,24717,20,4,working_age_15_64
Thailand,1997,Pathum Thani,female,25-29,30175,25,5,working_age_15_64
Thailand,1997,Pathum Thani,female,30-34,32839,30,6,working_age_15_64
Thailand,1997,Pathum Thani,female,35-39,28766,35,7,working_age_15_64
Thailand,1997,Pathum Thani,female,40-44,23042,40,8,working_age_15_64
Thailand,1997,Pathum Thani,female,45-49,16993,45,9,working_age_15_64
Thailand,1997,Pathum Thani,female,50-54,11303,50,10,working_age_15_64
Thailand,1997,Pathum Thani,female,55-59,10277,55,11,working_age_15_64
Thailand,1997,Pathum Thani,female,60-64,8178,60,12,working_age_15_64
Thailand,1997,Pathum Thani,female,65-69,6053,65,13,older_adult_65_plus
Thailand,1997,Pathum Thani,female,70-74,4060,70,14,older_adult_65_plus
Thailand,1997,Pathum Thani,female,75-79,2394,75,15,older_adult_65_plus
Thailand,1997,Pathum Thani,female,80-84,1649,80,16,older_adult_65_plus
Thailand,1997,Pathum Thani,female,85+,1660,85,17,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,male,0-4,25895,0,0,child_0_14
Thailand,1997,Phra Nakhon Si Ayutthaya,male,5-9,25797,5,1,child_0_14
Thailand,1997,Phra Nakhon Si Ayutthaya,male,10-14,25693,10,2,child_0_14
Thailand,1997,Phra Nakhon Si Ayutthaya,male,15-19,29099,15,3,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,20-24,28703,20,4,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,25-29,32320,25,5,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,30-34,33789,30,6,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,35-39,29219,35,7,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,40-44,22902,40,8,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,45-49,17158,45,9,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,50-54,12188,50,10,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,55-59,12127,55,11,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,60-64,11485,60,12,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,male,65-69,8433,65,13,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,male,70-74,5890,70,14,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,male,75-79,3360,75,15,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,male,80-84,2187,80,16,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,male,85+,2034,85,17,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,female,0-4,24295,0,0,child_0_14
Thailand,1997,Phra Nakhon Si Ayutthaya,female,5-9,24061,5,1,child_0_14
Thailand,1997,Phra Nakhon Si Ayutthaya,female,10-14,24128,10,2,child_0_14
Thailand,1997,Phra Nakhon Si Ayutthaya,female,15-19,27342,15,3,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,20-24,29191,20,4,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,25-29,33514,25,5,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,30-34,34876,30,6,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,35-39,30935,35,7,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,40-44,25206,40,8,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,45-49,18894,45,9,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,50-54,14078,50,10,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,55-59,14392,55,11,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,60-64,13052,60,12,working_age_15_64
Thailand,1997,Phra Nakhon Si Ayutthaya,female,65-69,10412,65,13,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,female,70-74,7762,70,14,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,female,75-79,5075,75,15,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,female,80-84,3510,80,16,older_adult_65_plus
Thailand,1997,Phra Nakhon Si Ayutthaya,female,85+,3354,85,17,older_adult_65_plus
Thailand,1997,Ang Thong,male,0-4,9746,0,0,child_0_14
Thailand,1997,Ang Thong,male,5-9,9865,5,1,child_0_14
Thailand,1997,Ang Thong,male,10-14,10156,10,2,child_0_14
Thailand,1997,Ang Thong,male,15-19,11199,15,3,working_age_15_64
Thailand,1997,Ang Thong,male,20-24,11257,20,4,working_age_15_64
Thailand,1997,Ang Thong,male,25-29,12755,25,5,working_age_15_64
Thailand,1997,Ang Thong,male,30-34,13591,30,6,working_age_15_64
Thailand,1997,Ang Thong,male,35-39,11888,35,7,working_age_15_64
Thailand,1997,Ang Thong,male,40-44,9849,40,8,working_age_15_64
Thailand,1997,Ang Thong,male,45-49,7743,45,9,working_age_15_64
Thailand,1997,Ang Thong,male,50-54,5239,50,10,working_age_15_64
Thailand,1997,Ang Thong,male,55-59,5466,55,11,working_age_15_64
Thailand,1997,Ang Thong,male,60-64,5093,60,12,working_age_15_64
Thailand,1997,Ang Thong,male,65-69,3637,65,13,older_adult_65_plus
Thailand,1997,Ang Thong,male,70-74,2708,70,14,older_adult_65_plus
Thailand,1997,Ang Thong,male,75-79,1426,75,15,older_adult_65_plus
Thailand,1997,Ang Thong,male,80-84,986,80,16,older_adult_65_plus
Thailand,1997,Ang Thong,male,85+,710,85,17,older_adult_65_plus
Thailand,1997,Ang Thong,female,0-4,9305,0,0,child_0_14
Thailand,1997,Ang Thong,female,5-9,9153,5,1,child_0_14
Thailand,1997,Ang Thong,female,10-14,9452,10,2,child_0_14
Thailand,1997,Ang Thong,female,15-19,10421,15,3,working_age_15_64
Thailand,1997,Ang Thong,female,20-24,11360,20,4,working_age_15_64
Thailand,1997,Ang Thong,female,25-29,12518,25,5,working_age_15_64
Thailand,1997,Ang Thong,female,30-34,13902,30,6,working_age_15_64
