Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,2000,Nonthaburi,male,20-24,32028,20,4,working_age_15_64
Thailand,2000,Nonthaburi,male,25-29,33907,25,5,working_age_15_64
Thailand,2000,Nonthaburi,male,30-34,39490,30,6,working_age_15_64
Thailand,2000,Nonthaburi,male,35-39,40833,35,7,working_age_15_64
Thailand,2000,Nonthaburi,male,40-44,35614,40,8,working_age_15_64
Thailand,2000,Nonthaburi,male,45-49,27182,45,9,working_age_15_64
Thailand,2000,Nonthaburi,male,50-54,19548,50,10,working_age_15_64
Thailand,2000,Nonthaburi,male,55-59,14424,55,11,working_age_15_64
Thailand,2000,Nonthaburi,male,60-64,13399,60,12,working_age_15_64
Thailand,2000,Nonthaburi,male,65-69,10029,65,13,older_adult_65_plus
Thailand,2000,Nonthaburi,male,70-74,6741,70,14,older_adult_65_plus
Thailand,2000,Nonthaburi,male,75-79,3904,75,15,older_adult_65_plus
Thailand,2000,Nonthaburi,male,80-84,2071,80,16,older_adult_65_plus
Thailand,2000,Nonthaburi,male,85+,2288,85,17,older_adult_65_plus
Thailand,2000,Nonthaburi,female,0-4,27722,0,0,child_0_14
Thailand,2000,Nonthaburi,female,5-9,30188,5,1,child_0_14
Thailand,2000,Nonthaburi,female,10-14,27214,10,2,child_0_14
Thailand,2000,Nonthaburi,female,15-19,30168,15,3,working_age_15_64
Thailand,2000,Nonthaburi,female,20-24,34041,20,4,working_age_15_64
Thailand,2000,Nonthaburi,female,25-29,38058,25,5,working_age_15_64
Thailand,2000,Nonthaburi,female,30-34,45329,30,6,working_age_15_64
Thailand,2000,Nonthaburi,female,35-39,47616,35,7,working_age_15_64
Thailand,2000,Nonthaburi,female,40-44,41274,40,8,working_age_15_64
Thailand,2000,Nonthaburi,female,45-49,32508,45,9,working_age_15_64
Thailand,2000,Nonthaburi,female,50-54,23220,50,10,working_age_15_64
Thailand,2000,Nonthaburi,female,55-59,16821,55,11,working_age_15_64
Thailand,2000,Nonthaburi,female,60-64,14442,60,12,working_age_15_64
Thailand,2000,Nonthaburi,female,65-69,10646,65,13,older_adult_65_plus
Thailand,2000,Nonthaburi,female,70-74,7518,70,14,older_adult_65_plus
Thailand,2000,Nonthaburi,female,75-79,4626,75,15,older_adult_65_plus
Thailand,2000,Nonthaburi,female,80-84,2720,80,16,older_adult_65_plus
Thailand,2000,Nonthaburi,female,85+,2824,85,17,older_adult_65_plus
Thailand,2000,Pathum Thani,male,0-4,24862,0,0,child_0_14
Thailand,2000,Pathum Thani,male,5-9,25956,5,1,child_0_14
Thailand,2000,Pathum Thani,male,10-14,22603,10,2,child_0_14
Thailand,2000,Pathum Thani,male,15-19,24704,15,3,working_age_15_64
Thailand,2000,Pathum Thani,male,20-24,26059,20,4,working_age_15_64
Thailand,2000,Pathum Thani,male,25-29,27594,25,5,working_age_15_64
Thailand,2000,Pathum Thani,male,30-34,33452,30,6,working_age_15_64
Thailand,2000,Pathum Thani,male,35-39,32032,35,7,working_age_15_64
Thailand,2000,Pathum Thani,male,40-44,25758,40,8,working_age_15_64
Thailand,2000,Pathum Thani,male,45-49,19502,45,9,working_age_15_64
Thailand,2000,Pathum Thani,male,50-54,13339,50,10,working_age_15_64
Thailand,2000,Pathum Thani,male,55-59,9761,55,11,working_age_15_64
Thailand,2000,Pathum Thani,male,60-64,8747,60,12,working_age_15_64
Thailand,2000,Pathum Thani,male,65-69,6116,65,13,older_adult_65_plus
Thailand,2000,Pathum Thani,male,70-74,3855,70,14,older_adult_65_plus
Thailand,2000,Pathum Thani,male,75-79,2166,75,15,older_adult_65_plus
Thailand,2000,Pathum Thani,male,80-84,1086,80,16,older_adult_65_plus
Thailand,2000,Pathum Thani,male,85+,1286,85,17,older_adult_65_plus
Thailand,2000,Pathum Thani,female,0-4,23283,0,0,child_0_14
Thailand,2000,Pathum Thani,female,5-9,24116,5,1,child_0_14
Thailand,2000,Pathum Thani,female,10-14,21782,10,2,child_0_14
Thailand,2000,Pathum Thani,female,15-19,24241,15,3,working_age_15_64
Thailand,2000,Pathum Thani,female,20-24,26697,20,4,working_age_15_64
Thailand,2000,Pathum Thani,female,25-29,30286,25,5,working_age_15_64
Thailand,2000,Pathum Thani,female,30-34,36619,30,6,working_age_15_64
Thailand,2000,Pathum Thani,female,35-39,34871,35,7,working_age_15_64
Thailand,2000,Pathum Thani,female,40-44,28121,40,8,working_age_15_64
Thailand,2000,Pathum Thani,female,45-49,21756,45,9,working_age_15_64
Thailand,2000,Pathum Thani,female,50-54,15183,50,10,working_age_15_64
Thailand,2000,Pathum Thani,female,55-59,11023,55,11,working_age_15_64
Thailand,2000,Pathum Thani,female,60-64,9693,60,12,working_age_15_64
Thailand,2000,Pathum Thani,female,65-69,7020,65,13,older_adult_65_plus
Thailand,2000,Pathum Thani,female,70-74,4973,70,14,older_adult_65_plus
Thailand,2000,Pathum Thani,female,75-79,2979,75,15,older_adult_65_plus
Thailand,2000,Pathum Thani,female,80-84,1779,80,16,older_adult_65_plus
Thailand,2000,Pathum Thani,female,85+,2122,85,17,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,male,0-4,25111,0,0,child_0_14
Thailand,2000,Phra Nakhon Si Ayutthaya,male,5-9,27189,5,1,child_0_14
Thailand,2000,Phra Nakhon Si Ayutthaya,male,10-14,25181,10,2,child_0_14
Thailand,2000,Phra Nakhon Si Ayutthaya,male,15-19,27741,15,3,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,20-24,28487,20,4,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,25-29,30405,25,5,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,30-34,32811,30,6,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,35-39,32222,35,7,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,40-44,26333,40,8,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,45-49,20404,45,9,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,50-54,14607,50,10,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,55-59,11790,55,11,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,60-64,11850,60,12,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,male,65-69,9321,65,13,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,male,70-74,6720,70,14,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,male,75-79,4130,75,15,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,male,80-84,2217,80,16,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,male,85+,2073,85,17,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,female,0-4,23573,0,0,child_0_14
Thailand,2000,Phra Nakhon Si Ayutthaya,female,5-9,25752,5,1,child_0_14
Thailand,2000,Phra Nakhon Si Ayutthaya,female,10-14,23487,10,2,child_0_14
Thailand,2000,Phra Nakhon Si Ayutthaya,female,15-19,25876,15,3,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,20-24,29089,20,4,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,25-29,31091,25,5,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,30-34,34611,30,6,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,35-39,34119,35,7,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,40-44,28853,40,8,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,45-49,22953,45,9,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,50-54,16884,50,10,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,55-59,14093,55,11,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,60-64,13953,60,12,working_age_15_64
Thailand,2000,Phra Nakhon Si Ayutthaya,female,65-69,11419,65,13,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,female,70-74,8908,70,14,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,female,75-79,5910,75,15,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,female,80-84,3724,80,16,older_adult_65_plus
Thailand,2000,Phra Nakhon Si Ayutthaya,female,85+,3480,85,17,older_adult_65_plus
Thailand,2000,Ang Thong,male,0-4,9123,0,0,child_0_14
Thailand,2000,Ang Thong,male,5-9,10095,5,1,child_0_14
Thailand,2000,Ang Thong,male,10-14,9679,10,2,child_0_14
Thailand,2000,Ang Thong,male,15-19,10817,15,3,working_age_15_64
Thailand,2000,Ang Thong,male,20-24,10997,20,4,working_age_15_64
Thailand,2000,Ang Thong,male,25-29,11574,25,5,working_age_15_64
Thailand,2000,Ang Thong,male,30-34,12495,30,6,working_age_15_64
Thailand,2000,Ang Thong,male,35-39,12984,35,7,working_age_15_64
Thailand,2000,Ang Thong,male,40-44,10648,40,8,working_age_15_64
Thailand,2000,Ang Thong,male,45-49,8763,45,9,working_age_15_64
Thailand,2000,Ang Thong,male,50-54,6392,50,10,working_age_15_64
Thailand,2000,Ang Thong,male,55-59,4910,55,11,working_age_15_64
Thailand,2000,Ang Thong,male,60-64,5259,60,12,working_age_15_64
Thailand,2000,Ang Thong,male,65-69,3967,65,13,older_adult_65_plus
Thailand,2000,Ang Thong,male,70-74,2827,70,14,older_adult_65_plus
Thailand,2000,Ang Thong,male,75-79,1781,75,15,older_adult_65_plus
Thailand,2000,Ang Thong,male,80-84,888,80,16,older_adult_65_plus
Thailand,2000,Ang Thong,male,85+,712,85,17,older_adult_65_plus
Thailand,2000,Ang Thong,female,0-4,8755,0,0,child_0_14
Thailand,2000,Ang Thong,female,5-9,9421,5,1,child_0_14
Thailand,2000,Ang Thong,female,10-14,8822,10,2,child_0_14
Thailand,2000,Ang Thong,female,15-19,10011,15,3,working_age_15_64
Thailand,2000,Ang Thong,female,20-24,11323,20,4,working_age_15_64
Thailand,2000,Ang Thong,female,25-29,11456,25,5,working_age_15_64
Thailand,2000,Ang Thong,female,30-34,12666,30,6,working_age_15_64
Thailand,2000,Ang Thong,female,35-39,13664,35,7,working_age_15_64
Thailand,2000,Ang Thong,female,40-44,11908,40,8,working_age_15_64
Thailand,2000,Ang Thong,female,45-49,10026,45,9,working_age_15_64
Thailand,2000,Ang Thong,female,50-54,7513,50,10,working_age_15_64
Thailand,2000,Ang Thong,female,55-59,6000,55,11,working_age_15_64
Thailand,2000,Ang Thong,female,60-64,6480,60,12,working_age_15_64
Thailand,2000,Ang Thong,female,65-69,5262,65,13,older_adult_65_plus
Thailand,2000,Ang Thong,female,70-74,4099,70,14,older_adult_65_plus
Thailand,2000,Ang Thong,female,75-79,2812,75,15,older_adult_65_plus
Thailand,2000,Ang Thong,female,80-84,1776,80,16,older_adult_65_plus
Thailand,2000,Ang Thong,female,85+,1561,85,17,older_adult_65_plus
Thailand,2000,Lop Buri,male,0-4,25874,0,0,child_0_14
Thailand,2000,Lop Buri,male,5-9,27018,5,1,child_0_14
Thailand,2000,Lop Buri,male,10-14,26019,10,2,child_0_14
Thailand,2000,Lop Buri,male,15-19,28463,15,3,working_age_15_64
Thailand,2000,Lop Buri,male,20-24,40299,20,4,working_age_15_64
Thailand,2000,Lop Buri,male,25-29,35091,25,5,working_age_15_64
Thailand,2000,Lop Buri,male,30-34,35609,30,6,working_age_15_64
Thailand,2000,Lop Buri,male,35-39,34494,35,7,working_age_15_64
Thailand,2000,Lop Buri,male,40-44,29888,40,8,working_age_15_64
Thailand,2000,Lop Buri,male,45-49,21612,45,9,working_age_15_64
Thailand,2000,Lop Buri,male,50-54,16433,50,10,working_age_15_64
Thailand,2000,Lop Buri,male,55-59,12487,55,11,working_age_15_64
Thailand,2000,Lop Buri,male,60-64,11526,60,12,working_age_15_64
Thailand,2000,Lop Buri,male,65-69,9579,65,13,older_adult_65_plus
Thailand,2000,Lop Buri,male,70-74,6304,70,14,older_adult_65_plus
Thailand,2000,Lop Buri,male,75-79,3637,75,15,older_adult_65_plus
Thailand,2000,Lop Buri,male,80-84,1982,80,16,older_adult_65_plus
Thailand,2000,Lop Buri,male,85+,1851,85,17,older_adult_65_plus
Thailand,2000,Lop Buri,female,0-4,24178,0,0,child_0_14
Thailand,2000,Lop Buri,female,5-9,25621,5,1,child_0_14
Thailand,2000,Lop Buri,female,10-14,24945,10,2,child_0_14
Thailand,2000,Lop Buri,female,15-19,27579,15,3,working_age_15_64
Thailand,2000,Lop Buri,female,20-24,29970,20,4,working_age_15_64
Thailand,2000,Lop Buri,female,25-29,32134,25,5,working_age_15_64
Thailand,2000,Lop Buri,female,30-34,35049,30,6,working_age_15_64
Thailand,2000,Lop Buri,female,35-39,35080,35,7,working_age_15_64
Thailand,2000,Lop Buri,female,40-44,29271,40,8,working_age_15_64
Thailand,2000,Lop Buri,female,45-49,23118,45,9,working_age_15_64
Thailand,2000,Lop Buri,female,50-54,17740,50,10,working_age_15_64
