year,province_name_en,sex,age_group,population
2000,Daejeon,male,35-39,65473
2000,Daejeon,male,40-44,62936
2000,Daejeon,male,45-49,44586
2000,Daejeon,male,50-54,32674
2000,Daejeon,male,55-59,25105
2000,Daejeon,male,60-64,19116
2000,Daejeon,male,65-69,12567
2000,Daejeon,male,70-74,7546
2000,Daejeon,male,75-79,4743
2000,Daejeon,male,80-84,2317
2000,Daejeon,male,85+,1035
2000,Daejeon,female,0-4,47512
2000,Daejeon,female,5-9,52452
2000,Daejeon,female,10-14,46827
2000,Daejeon,female,15-19,55765
2000,Daejeon,female,20-24,60212
2000,Daejeon,female,25-29,65207
2000,Daejeon,female,30-34,66313
2000,Daejeon,female,35-39,64665
2000,Daejeon,female,40-44,62066
2000,Daejeon,female,45-49,42869
2000,Daejeon,female,50-54,30840
2000,Daejeon,female,55-59,25640
2000,Daejeon,female,60-64,21796
2000,Daejeon,female,65-69,17357
2000,Daejeon,female,70-74,12857
2000,Daejeon,female,75-79,8909
2000,Daejeon,female,80-84,5062
2000,Daejeon,female,85+,3376
2000,Ulsan,male,0-4,44370
2000,Ulsan,male,5-9,52162
2000,Ulsan,male,10-14,43107
2000,Ulsan,male,15-19,44021
2000,Ulsan,male,20-24,40395
2000,Ulsan,male,25-29,43443
2000,Ulsan,male,30-34,54913
2000,Ulsan,male,35-39,58045
2000,Ulsan,male,40-44,51590
2000,Ulsan,male,45-49,35203
2000,Ulsan,male,50-54,23864
2000,Ulsan,male,55-59,16461
2000,Ulsan,male,60-64,11467
2000,Ulsan,male,65-69,7065
2000,Ulsan,male,70-74,3792
2000,Ulsan,male,75-79,2124
2000,Ulsan,male,80-84,1063
2000,Ulsan,male,85+,474
2000,Ulsan,female,0-4,38842
2000,Ulsan,female,5-9,43219
2000,Ulsan,female,10-14,36096
2000,Ulsan,female,15-19,40624
2000,Ulsan,female,20-24,37764
2000,Ulsan,female,25-29,46191
2000,Ulsan,female,30-34,56371
2000,Ulsan,female,35-39,53188
2000,Ulsan,female,40-44,47494
2000,Ulsan,female,45-49,31385
2000,Ulsan,female,50-54,20031
2000,Ulsan,female,55-59,15231
2000,Ulsan,female,60-64,12629
2000,Ulsan,female,65-69,9830
2000,Ulsan,female,70-74,7509
2000,Ulsan,female,75-79,5366
2000,Ulsan,female,80-84,2975
2000,Ulsan,female,85+,1921
2000,Gyeonggi-do,male,0-4,383638
2000,Gyeonggi-do,male,5-9,430576
2000,Gyeonggi-do,male,10-14,340068
2000,Gyeonggi-do,male,15-19,329984
2000,Gyeonggi-do,male,20-24,321959
2000,Gyeonggi-do,male,25-29,419326
2000,Gyeonggi-do,male,30-34,497145
2000,Gyeonggi-do,male,35-39,518272
2000,Gyeonggi-do,male,40-44,454967
2000,Gyeonggi-do,male,45-49,279957
2000,Gyeonggi-do,male,50-54,194255
2000,Gyeonggi-do,male,55-59,156864
2000,Gyeonggi-do,male,60-64,131665
2000,Gyeonggi-do,male,65-69,89811
2000,Gyeonggi-do,male,70-74,52663
2000,Gyeonggi-do,male,75-79,33522
2000,Gyeonggi-do,male,80-84,16356
2000,Gyeonggi-do,male,85+,7495
2000,Gyeonggi-do,female,0-4,352331
2000,Gyeonggi-do,female,5-9,389403
2000,Gyeonggi-do,female,10-14,316053
2000,Gyeonggi-do,female,15-19,313687
2000,Gyeonggi-do,female,20-24,315366
2000,Gyeonggi-do,female,25-29,428393
2000,Gyeonggi-do,female,30-34,500535
2000,Gyeonggi-do,female,35-39,475656
2000,Gyeonggi-do,female,40-44,393030
2000,Gyeonggi-do,female,45-49,246571
2000,Gyeonggi-do,female,50-54,183509
2000,Gyeonggi-do,female,55-59,167644
2000,Gyeonggi-do,female,60-64,153680
2000,Gyeonggi-do,female,65-69,122611
2000,Gyeonggi-do,female,70-74,88823
2000,Gyeonggi-do,female,75-79,59351
2000,Gyeonggi-do,female,80-84,32622
2000,Gyeonggi-do,female,85+,21553
2000,Chungcheongbuk-do,male,0-4,53083
2000,Chungcheongbuk-do,male,5-9,59146
2000,Chungcheongbuk-do,male,10-14,52211
2000,Chungcheongbuk-do,male,15-19,61428
2000,Chungcheongbuk-do,male,20-24,66404
2000,Chungcheongbuk-do,male,25-29,67665
2000,Chungcheongbuk-do,male,30-34,67733
2000,Chungcheongbuk-do,male,35-39,66662
2000,Chungcheongbuk-do,male,40-44,63656
2000,Chungcheongbuk-do,male,45-49,45217
2000,Chungcheongbuk-do,male,50-54,33323
2000,Chungcheongbuk-do,male,55-59,32614
2000,Chungcheongbuk-do,male,60-64,31532
2000,Chungcheongbuk-do,male,65-69,22502
2000,Chungcheongbuk-do,male,70-74,13721
2000,Chungcheongbuk-do,male,75-79,9327
2000,Chungcheongbuk-do,male,80-84,4559
2000,Chungcheongbuk-do,male,85+,2170
2000,Chungcheongbuk-do,female,0-4,48314
2000,Chungcheongbuk-do,female,5-9,51916
2000,Chungcheongbuk-do,female,10-14,46961
2000,Chungcheongbuk-do,female,15-19,58578
2000,Chungcheongbuk-do,female,20-24,60721
2000,Chungcheongbuk-do,female,25-29,60998
2000,Chungcheongbuk-do,female,30-34,63693
2000,Chungcheongbuk-do,female,35-39,61123
2000,Chungcheongbuk-do,female,40-44,58820
2000,Chungcheongbuk-do,female,45-49,43459
2000,Chungcheongbuk-do,female,50-54,32716
