year,province_name_en,sex,age_group,population
1997,Phra Nakhon Si Ayutthaya,male,60-64,11485
1997,Phra Nakhon Si Ayutthaya,male,65-69,8433
1997,Phra Nakhon Si Ayutthaya,male,70-74,5890
1997,Phra Nakhon Si Ayutthaya,male,75-79,3360
1997,Phra Nakhon Si Ayutthaya,male,80-84,2187
1997,Phra Nakhon Si Ayutthaya,male,85+,2034
1997,Phra Nakhon Si Ayutthaya,female,0-4,24295
1997,Phra Nakhon Si Ayutthaya,female,5-9,24061
1997,Phra Nakhon Si Ayutthaya,female,10-14,24128
1997,Phra Nakhon Si Ayutthaya,female,15-19,27342
1997,Phra Nakhon Si Ayutthaya,female,20-24,29191
1997,Phra Nakhon Si Ayutthaya,female,25-29,33514
1997,Phra Nakhon Si Ayutthaya,female,30-34,34876
1997,Phra Nakhon Si Ayutthaya,female,35-39,30935
1997,Phra Nakhon Si Ayutthaya,female,40-44,25206
1997,Phra Nakhon Si Ayutthaya,female,45-49,18894
1997,Phra Nakhon Si Ayutthaya,female,50-54,14078
1997,Phra Nakhon Si Ayutthaya,female,55-59,14392
1997,Phra Nakhon Si Ayutthaya,female,60-64,13052
1997,Phra Nakhon Si Ayutthaya,female,65-69,10412
1997,Phra Nakhon Si Ayutthaya,female,70-74,7762
1997,Phra Nakhon Si Ayutthaya,female,75-79,5075
1997,Phra Nakhon Si Ayutthaya,female,80-84,3510
1997,Phra Nakhon Si Ayutthaya,female,85+,3354
1997,Ang Thong,male,0-4,9746
1997,Ang Thong,male,5-9,9865
1997,Ang Thong,male,10-14,10156
1997,Ang Thong,male,15-19,11199
1997,Ang Thong,male,20-24,11257
1997,Ang Thong,male,25-29,12755
1997,Ang Thong,male,30-34,13591
1997,Ang Thong,male,35-39,11888
1997,Ang Thong,male,40-44,9849
1997,Ang Thong,male,45-49,7743
1997,Ang Thong,male,50-54,5239
1997,Ang Thong,male,55-59,5466
1997,Ang Thong,male,60-64,5093
1997,Ang Thong,male,65-69,3637
1997,Ang Thong,male,70-74,2708
1997,Ang Thong,male,75-79,1426
1997,Ang Thong,male,80-84,986
1997,Ang Thong,male,85+,710
1997,Ang Thong,female,0-4,9305
1997,Ang Thong,female,5-9,9153
1997,Ang Thong,female,10-14,9452
1997,Ang Thong,female,15-19,10421
1997,Ang Thong,female,20-24,11360
1997,Ang Thong,female,25-29,12518
1997,Ang Thong,female,30-34,13902
1997,Ang Thong,female,35-39,12644
1997,Ang Thong,female,40-44,10957
1997,Ang Thong,female,45-49,8845
1997,Ang Thong,female,50-54,6130
1997,Ang Thong,female,55-59,6676
1997,Ang Thong,female,60-64,6061
1997,Ang Thong,female,65-69,4925
1997,Ang Thong,female,70-74,3836
1997,Ang Thong,female,75-79,2530
1997,Ang Thong,female,80-84,1813
1997,Ang Thong,female,85+,1565
1997,Lop Buri,male,0-4,26453
1997,Lop Buri,male,5-9,26416
1997,Lop Buri,male,10-14,27059
1997,Lop Buri,male,15-19,29944
1997,Lop Buri,male,20-24,42882
1997,Lop Buri,male,25-29,37915
1997,Lop Buri,male,30-34,36436
1997,Lop Buri,male,35-39,33816
1997,Lop Buri,male,40-44,25218
1997,Lop Buri,male,45-49,19131
1997,Lop Buri,male,50-54,14004
1997,Lop Buri,male,55-59,12712
1997,Lop Buri,male,60-64,11443
1997,Lop Buri,male,65-69,8688
1997,Lop Buri,male,70-74,5142
1997,Lop Buri,male,75-79,3214
1997,Lop Buri,male,80-84,1931
1997,Lop Buri,male,85+,1711
1997,Lop Buri,female,0-4,24656
1997,Lop Buri,female,5-9,25274
1997,Lop Buri,female,10-14,26012
1997,Lop Buri,female,15-19,28833
1997,Lop Buri,female,20-24,31402
1997,Lop Buri,female,25-29,35083
1997,Lop Buri,female,30-34,36803
1997,Lop Buri,female,35-39,32131
1997,Lop Buri,female,40-44,25824
1997,Lop Buri,female,45-49,20321
1997,Lop Buri,female,50-54,14736
1997,Lop Buri,female,55-59,14301
1997,Lop Buri,female,60-64,12237
1997,Lop Buri,female,65-69,9244
1997,Lop Buri,female,70-74,6355
1997,Lop Buri,female,75-79,4031
1997,Lop Buri,female,80-84,2739
1997,Lop Buri,female,85+,2587
