year,province_name_en,sex,age_group,population
2000,Phra Nakhon Si Ayutthaya,male,60-64,11850
2000,Phra Nakhon Si Ayutthaya,male,65-69,9321
2000,Phra Nakhon Si Ayutthaya,male,70-74,6720
2000,Phra Nakhon Si Ayutthaya,male,75-79,4130
2000,Phra Nakhon Si Ayutthaya,male,80-84,2217
2000,Phra Nakhon Si Ayutthaya,male,85+,2073
2000,Phra Nakhon Si Ayutthaya,female,0-4,23573
2000,Phra Nakhon Si Ayutthaya,female,5-9,25752
2000,Phra Nakhon Si Ayutthaya,female,10-14,23487
2000,Phra Nakhon Si Ayutthaya,female,15-19,25876
2000,Phra Nakhon Si Ayutthaya,female,20-24,29089
2000,Phra Nakhon Si Ayutthaya,female,25-29,31091
2000,Phra Nakhon Si Ayutthaya,female,30-34,34611
2000,Phra Nakhon Si Ayutthaya,female,35-39,34119
2000,Phra Nakhon Si Ayutthaya,female,40-44,28853
2000,Phra Nakhon Si Ayutthaya,female,45-49,22953
2000,Phra Nakhon Si Ayutthaya,female,50-54,16884
2000,Phra Nakhon Si Ayutthaya,female,55-59,14093
2000,Phra Nakhon Si Ayutthaya,female,60-64,13953
2000,Phra Nakhon Si Ayutthaya,female,65-69,11419
2000,Phra Nakhon Si Ayutthaya,female,70-74,8908
2000,Phra Nakhon Si Ayutthaya,female,75-79,5910
2000,Phra Nakhon Si Ayutthaya,female,80-84,3724
2000,Phra Nakhon Si Ayutthaya,female,85+,3480
2000,Ang Thong,male,0-4,9123
2000,Ang Thong,male,5-9,10095
2000,Ang Thong,male,10-14,9679
2000,Ang Thong,male,15-19,10817
2000,Ang Thong,male,20-24,10997
2000,Ang Thong,male,25-29,11574
2000,Ang Thong,male,30-34,12495
2000,Ang Thong,male,35-39,12984
2000,Ang Thong,male,40-44,10648
2000,Ang Thong,male,45-49,8763
2000,Ang Thong,male,50-54,6392
2000,Ang Thong,male,55-59,4910
2000,Ang Thong,male,60-64,5259
2000,Ang Thong,male,65-69,3967
2000,Ang Thong,male,70-74,2827
2000,Ang Thong,male,75-79,1781
2000,Ang Thong,male,80-84,888
2000,Ang Thong,male,85+,712
2000,Ang Thong,female,0-4,8755
2000,Ang Thong,female,5-9,9421
2000,Ang Thong,female,10-14,8822
2000,Ang Thong,female,15-19,10011
2000,Ang Thong,female,20-24,11323
2000,Ang Thong,female,25-29,11456
2000,Ang Thong,female,30-34,12666
2000,Ang Thong,female,35-39,13664
2000,Ang Thong,female,40-44,11908
2000,Ang Thong,female,45-49,10026
2000,Ang Thong,female,50-54,7513
2000,Ang Thong,female,55-59,6000
2000,Ang Thong,female,60-64,6480
2000,Ang Thong,female,65-69,5262
2000,Ang Thong,female,70-74,4099
2000,Ang Thong,female,75-79,2812
2000,Ang Thong,female,80-84,1776
2000,Ang Thong,female,85+,1561
2000,Lop Buri,male,0-4,25874
2000,Lop Buri,male,5-9,27018
2000,Lop Buri,male,10-14,26019
2000,Lop Buri,male,15-19,28463
2000,Lop Buri,male,20-24,40299
2000,Lop Buri,male,25-29,35091
2000,Lop Buri,male,30-34,35609
2000,Lop Buri,male,35-39,34494
2000,Lop Buri,male,40-44,29888
2000,Lop Buri,male,45-49,21612
2000,Lop Buri,male,50-54,16433
2000,Lop Buri,male,55-59,12487
2000,Lop Buri,male,60-64,11526
2000,Lop Buri,male,65-69,9579
2000,Lop Buri,male,70-74,6304
2000,Lop Buri,male,75-79,3637
2000,Lop Buri,male,80-84,1982
2000,Lop Buri,male,85+,1851
2000,Lop Buri,female,0-4,24178
2000,Lop Buri,female,5-9,25621
2000,Lop Buri,female,10-14,24945
2000,Lop Buri,female,15-19,27579
2000,Lop Buri,female,20-24,29970
2000,Lop Buri,female,25-29,32134
2000,Lop Buri,female,30-34,35049
2000,Lop Buri,female,35-39,35080
2000,Lop Buri,female,40-44,29271
2000,Lop Buri,female,45-49,23118
2000,Lop Buri,female,50-54,17740
2000,Lop Buri,female,55-59,13694
2000,Lop Buri,female,60-64,13253
2000,Lop Buri,female,65-69,10435
2000,Lop Buri,female,70-74,7511
2000,Lop Buri,female,75-79,4686
2000,Lop Buri,female,80-84,2863
2000,Lop Buri,female,85+,2764
2000,Sing Buri,male,0-4,6873
2000,Sing Buri,male,5-9,7543
2000,Sing Buri,male,10-14,7340
2000,Sing Buri,male,15-19,8309
2000,Sing Buri,male,20-24,8467
2000,Sing Buri,male,25-29,8363
2000,Sing Buri,male,30-34,9247
2000,Sing Buri,male,35-39,9933
2000,Sing Buri,male,40-44,8465
2000,Sing Buri,male,45-49,7052
2000,Sing Buri,male,50-54,5400
2000,Sing Buri,male,55-59,4120
2000,Sing Buri,male,60-64,4253
2000,Sing Buri,male,65-69,3312
2000,Sing Buri,male,70-74,2248
2000,Sing Buri,male,75-79,1394
2000,Sing Buri,male,80-84,721
2000,Sing Buri,male,85+,532
2000,Sing Buri,female,0-4,6409
2000,Sing Buri,female,5-9,6850
2000,Sing Buri,female,10-14,6908
2000,Sing Buri,female,15-19,7624
2000,Sing Buri,female,20-24,8318
2000,Sing Buri,female,25-29,8628
2000,Sing Buri,female,30-34,9818
2000,Sing Buri,female,35-39,10769
2000,Sing Buri,female,40-44,9849
2000,Sing Buri,female,45-49,8056
